Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
1924/12/31,,921.6078814,,819475.1842051,66715,53969.50005,135482.978723404,,126506,27849.10842,1033.498794,,5819033.383,24389.74797,,,3584314.618,372341.2344,,23431.95737,9831,,15227,532330,18685,,,33638,14637.5,89707,10956.89572,,12712,132214,,55733.64515,163451.0553,,,,81103,382714,226201.7952,,202276,236345,22384,7205,19076209.86,869.4659
1925/06/30,,,,,,,,,,,,78431.17658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925/12/31,,999.0114416,,870446.8011243,73896,53744.08146,150503.191489362,,134450,29018.60629,1106.501522,,6072372.835,24692.39161,,,3597840.2,379697.9876,,23648.83134,11387,,15629,536522,19521,,,37933,15029.2,92733,11746.37992,2130388,12647,141345,,58080.37567,173497.252,,,,85832,397211,234510.052,,197651,238184,23901,7616,18517618.2,1126.8944
1926/06/30,,,,,,,,,,,,76134.38506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926/12/31,,1058.039933,,923480.7168026,78907,56335.61241,144404.255319149,,143645,29063.74517,1091.267054,,5566539.65,24920.84791,,,3692520.884,402212.4542,,24487.62334,12763,,17217,563386,19394,,,44840,15417.2,90201,12070.6086,2548481,12581,142495,,62733.68047,176101.505,,,,85636,413658,226878.4022,,209252,248703,24306,7907,18655764.7,1357.3505
1927/06/30,,,,,,,,,,,,79281.84009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927/12/31,,1056.924859,,897612.4253102,86421,60331.47242,171336.170212766,,144107,30594.3519,1100.39198,,5465570.574,29204.79194,,,3638416.944,427696.2744,,25946.73869,12400,,17520,577438,22800,,,39096,14694.6,104022,11711.36132,2440908,12918,139834,,65355.07965,182760.8057,,,,93063,428783,245400.9278,,213305,240044,25040,8492,19284931.02,1449.3742
1928/06/30,,,,,,,,,,,,78516.24293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928/12/31,,1063.050933,,881757.1042709,94310,64067.35228,175296.808510638,,150473,33115.27028,1124.566135,,6695073.25,34156.41958,,,3733097.629,443469.0439,,25356.7139,14081,,18649,599768,20598,,,43413,14774.5,109265,12772.65519,2548481,13269,148676,,68835.82232,190811.0918,,,,93946,446300,247431.835,,220567,254323,26203,8858,19029660.55,1660.7909
1929/06/30,,,,,,,,,,,,77155.18129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929/12/31,,1130.540742,,848785.2010694,94659,67020.41088,177237.234042553,,152289,33335.49185,1132.201888,,7045302.093,37207.48963,,,3814251.119,453627.7188,,24875.12611,17432,,20599,625536,22836,,,52782,16113.1,123667,13375.54355,2771945,13658,156117,,69383.5534,208851.1833,,196377,,100075,472452,254753.9615,,235330,280989,26582,8733,20624350.03,1857.5313
1930/06/30,,,,,,,,,,,,78090.91117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930/12/31,,1033.176207,,790787.0909714,90615,64247.3969,166226.595744681,,143421,32211.13213,1261.411407,,5917328.895,35731.68493,,,3814251.119,459149.5549,,25372.66052,17332,,18238,626290,22554,,,53939,16356.5,125161,14398.6729,2863437,13964,148783,,69226.14095,224591.1931,,187276,,96204,494469,252477.6077,,249396,277252,25849,9103,20260965,1883.7105
1931/06/30,,,,,,,,,,,,69669.34232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931/12/31,,966.8550705,,825793.9282923,79107,59788.10433,149512.765957447,,134714,32030.57807,1290.767705,,4661790.805,26582.90882,,,3746623.211,429035.7297,,25015.45632,16777,,16763,631170,23714,,,58657,15485.6,127360,14272.80497,2800224,14353,147246,,65003.31101,207036.4086,,173726,,93629,475854,239923.9945,,252114,265442,23775,8184,20935179.2,1594.5496
1932/06/30,,,,,,,,,,,,72051.20017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932/12/31,,841.1397076,,705054.9184891,70894,57807.27761,135531.914893617,,133566,32391.6862,1244.663562,,3939048.877,28194.46217,,,3814251.119,410812.9872,,26071.1223,15440,,16119,659238,24175,,,52352,14390.4,141755,13850.85333,2665481,14010,150374,,64103.81129,217326.9675,,160176,,96129,461639,240970.9435,,245469,246873,21322,8344,21128884.4,1656.4277
1933/06/30,,,,,,,,,,,,76389.58412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933/12/31,,830.3631142,,784581.536985,66176,60524.11804,149117.021276596,,148632,34194.49186,1251.780947,,4853886.104,26176.93702,,,3908931.804,413314.215,,29829.73966,16234,,17935,665456,25809,,,60639,14352.3,144318,14902.93019,2593950,13658,148593,,63984.94883,222774.7095,,155726,,94163,466169,248908.8584,,253370,248156,20613,9098,22013321.19,1631.0418
1934/06/30,,,,,,,,,,,,79196.77375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934/12/31,,920.1607028,,827478.0974841,74214,65301.3665,163295.744680851,,170705,36533.48834,1176.107661,,5859759.755,32836.062,,,3841302.281,418429.4307,,29502.83403,17718,,20362,671468,26910,,,64296,16019.9,144318,16226.49334,2828504,14099,148216,,62812.3867,230643.8599,,157951,,97522,514177,264354.6138,,260962,243128,20790,10437,24384333.75,1736.9485
1935/06/30,,,,,,,,,,,,80983.16713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935/12/31,,1002.132807,,870967.9731268,80031,68141.70942,178227.659574468,,196311,37567.57103,1285.264765,,6196954.977,36125.98545,,,3868355.059,428366.0021,,33369.88838,16018,,22271,625878,25486,,,62338,16285.6,144861,17444.70905,2847911,14511,156265,,65159.11722,242147.6865,,160176,,99685,542649,274076.9034,,266842,232632,21195,10909,24972957.33,1931.309
1936/06/30,,,,,,,,,,,,85236.48474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936/12/31,,1132.465059,,918244.1198327,83551,68708.48448,196723.404255319,,216883,40987.15767,1429.519471,,6501554.778,36836.27684,,,4044189.233,453600.383,,35637.49716,17718,,23340,712040,23545,,,76798,17811.8,153655,17064.99887,2990417,14912,150722,,69266.29719,258492.6211,,164827,,77182,570942,287552.5701,,273453,230105,21827,12099,25762794.09,2020.9528
1937/06/30,,,,,,,,,,,,87788.47529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937/12/31,,1190.577108,,974085.3987797,91938,73687.37516,208724.468085106,,217879,42066.3785,1520.852329,,7396617.639,39522.04618,,,4071240.395,506044.1579,,40466.13245,16018,,23656,763332,27509,,,77982,20530.8,147393,19356.63956,3191146,14353,165706,,73216.06471,269994.7386,,196377,,70897,598650,297521.3923,,280064,238161,22991,13678,31863757.58,2169.3015
1938/06/30,,,,,,,,,,,,93658.0536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938/12/31,,1149.527473,,942999.1680263,92687,73914.58954,224843.617021277,,226638,43773.43576,1552.544649,,7477446.325,38119.6329,,,3881880.64,501359.4814,,40155.17344,17019,,24029,788378,27693,,,85375,21271.3,149740,19111.59275,3119616,14763,170425,,71455.61526,276047.4056,,225702,,70718,620318,299490.3949,,286881,235731,25925,13422,32937394.44,2238.3193
1939/06/30,,,,,,,,,,,,89404.73599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
